4.354 12.7796 0.005 0.3063
4.37 12.42812 0.005 0.315
4.4 12.42161 0.005 0.249
4.416 12.17842 0.005 0.1603
4.447 11.8694 0.005 0.399
4.478 12.08353 0.005 0.4102
4.557 12.335 0.005 0.5044
4.622 11.9236 0.005 0.2474
4.655 12.05864 0.005 0.3031
4.72 12.1316 0.005 0.6722
4.804 11.37835 0.005 0.3483
4.889 12.06255 0.005 1.0455
4.923 11.2334 0.005 1.0485
5.171 11.25515 0.005 0.5458
5.489 10.2323 0.005 0.6177
5.765 10.3061 0.005 0.5387
6.013 9.5291 0.005 0.4113
6.338 8.45198 0.005 0.3971
6.634 7.80598 0.005 0.25
7.141 6.1064 0.005 0.2268
7.767 5.04825 0.005 0.4208
8.63 4.9833 0.005 0.3766
